NO2,O3,PM25,SJ,SO2,AQI,PM10,ID,CO
14,88,30,2022-12-30,6,44,38,"8292fc6fdd2449e48910d012551e48b3",0.8
17,104,53,2022-12-29,9,73,70,"cad96f28998949758a318913674b4362",0.8
20,112,30,2022-12-28,8,60,51,"4262baabf2aa4d3988e94f1a4cae241d",0.6
20,118,22,2022-12-27,7,65,41,"aafe70e7b55949b2a453d9110b354ad2",0.6
20,118,20,2022-12-26,7,65,39,"32bef7959ab0473aa2ace784558b9138",0.6
16,110,17,2022-12-25,7,59,32,"af812fe176d1454b9ea22f684b1010a6",0.6
16,87,13,2022-12-24,6,44,30,"a421019904c7450d885b0b3e7023bb34",0.5
14,95,18,2022-12-23,7,48,40,"113e808deba44522a75cb7ebb1a4f0fa",0.4
12,84,16,2022-12-22,7,42,34,"481734cc4ae349879e9b4b8ee6c7c18d",0.5
20,90,18,2022-12-21,8,45,33,"a0d7134c537143c4852c3eab2ba946ad",0.4
25,86,14,2022-12-20,6,43,32,"70cb968b28464f1bb04837acd56d90ee",0.4
14,78,10,2022-12-19,6,39,27,"e0128a54a10f4cd58e80ab9ff44c4114",0.5
8,72,7,2022-12-18,6,36,21,"aeab06b3709e457d8c3e955aa04bbd7b",0.5
12,76,22,2022-12-17,6,38,34,"765e2b9d048249d994f44c87121435a7",0.6
18,48,4,2022-12-16,5,24,7,"572ee25a132f4f1d97d46ef5d0823755",0.6
24,34,7,2022-12-15,5,30,12,"ff408b8e983b4773bb207cb09ed0b7cd",0.7
14,60,4,2022-12-14,5,30,8,"668871ebe2b14d438582085b75a2bdc7",0.7
16,64,28,2022-12-13,6,40,40,"3f6f857241e546acb1f0d4cef83377be",0.7
16,63,28,2022-12-12,6,40,39,"9d32950e58f048bda0058bac5981cd13",1.0
13,68,28,2022-12-11,8,43,43,"139ae33fdf5b4f4d9f6f36b79d2a93d7",0.7
12,82,17,2022-12-10,6,41,30,"cb9652903ecf4e18a0f709b08ec1066f",0.6
16,73,21,2022-12-09,6,37,33,"8537ec69a11e4323b9cacfb292e303c5",0.5
34,73,20,2022-12-08,6,43,35,"20a563006e28498db06c3bb813385abd",0.6
18,59,12,2022-12-07,5,30,22,"ee70a0b918194ea0bd9082bd88572de8",0.6
18,38,11,2022-12-06,6,23,22,"b197992a9ce444ffab6e63e937887f53",0.6
17,36,6,2022-12-05,6,22,16,"7fb4b2d4c9334dacbb22b3803ed1d8ce",0.6
18,44,9,2022-12-04,6,23,19,"dd6064075b2a49c1a48a778baddcaa0b",0.6
24,36,11,2022-12-03,6,30,24,"df9d39d469ba4741acf1776980c566e0",0.5
18,30,5,2022-12-02,6,23,14,"ae9cdc00076a42659757c3cd37613f97",0.5
14,25,4,2022-12-01,5,18,12,"b90860f8406641d7ba0e7db1e497a059",0.4
16,22,8,2022-11-30,5,20,20,"67bd4042e15f42d89a16286248a0181f",0.8
17,52,4,2022-11-29,6,26,14,"0f9986268e2a426bac4eee5741ae1ad1",0.6
30,64,15,2022-11-28,6,38,31,"8c0bdddc3f944cf6af3ca4a88302b260",0.5
18,97,18,2022-11-27,6,49,34,"e4c9cc583fbd4cbdab3a9cf6e2507cd9",0.6
23,42,6,2022-11-26,6,29,14,"483fbfb31332459d82208317704685f7",0.6
22,52,7,2022-11-25,5,28,14,"4360673048bb41a28f24ba95a7633e9f",0.6
32,55,9,2022-11-24,6,40,15,"a55501ca42bd4c1aa08cc6108bcfbd92",0.8
27,46,8,2022-11-23,6,34,12,"d4feecc34b5a4b939c2de6255900b8ab",0.8
22,63,16,2022-11-22,6,32,24,"4bf2b64d8240422a9fb46c15386b53ff",0.6
28,88,18,2022-11-21,7,44,32,"47bb0928b3664a7ab26db48a72d646ab",0.8
21,128,22,2022-11-20,6,74,35,"ca8d4f5ccb964e65b1b76e245e5f875b",0.8
22,122,16,2022-11-19,8,69,30,"54d87f67760e427d8c92179f536bd558",0.7
21,108,16,2022-11-18,8,57,26,"5d72d7941256430b8cc7c3519ad1a641",0.7
28,82,16,2022-11-17,8,41,29,"bcac6b2b0b8a4179b44a9e1ffc061e2c",0.8
17,106,18,2022-11-16,7,55,30,"487342d486a14992b083d589bd54a163",0.7
25,108,19,2022-11-15,8,57,36,"15ff25502a48416882805f2d1a944e6e",0.7
16,122,19,2022-11-14,8,69,28,"8a51c2fb55664c49abc49a12fbe14256",0.6
31,136,28,2022-11-13,8,80,43,"5f8b29f6eb554e00bd5aed73760713b9",0.7
20,90,13,2022-11-12,7,45,22,"1180242184554a0884795581637fab8c",0.6
24,82,13,2022-11-11,8,41,23,"2a47cf40f0964acb8a087ae30672207d",0.6
30,88,15,2022-11-10,8,44,29,"2175e61bcbab424ea6c75d4982bc7095",0.6
20,94,13,2022-11-09,8,47,24,"bdb121117509408db1667834fac561a0",0.6
20,46,10,2022-11-08,6,25,16,"7643f7e94f314bd18b5bf58f5d69f846",0.6
16,41,7,2022-11-07,6,21,12,"08507456c3ee4e05b6d8a31a0e446abb",0.6
16,43,12,2022-11-06,6,22,22,"6046690221074994a3fcaa05a1e6ef6e",0.6
12,53,7,2022-11-05,6,27,13,"9881d7a8cae94e10b146464e2c5c0bf9",0.6
28,44,18,2022-11-04,6,35,26,"502c9d36121940618eda150d35ebf41d",0.6
13,88,5,2022-11-03,6,44,11,"326b480b493447a299862fecd351c7c8",0.6
6,70,4,2022-11-02,6,35,7,"61771b6244744b0a9277634a2d17162f",0.4
9,100,16,2022-11-01,8,50,35,"c5237034b1254a8a9010ee1c186d31fc",0.5
10,114,19,2022-10-31,10,62,47,"263ea73b8ef247cd9db41c23c48edd2a",0.6
11,102,19,2022-10-30,8,52,33,"336769844f9f4dd3ab4a2e8151ddda9e",0.5
14,120,24,2022-10-29,8,67,39,"cafa4abc20f74be580d1ee8fcc036dbf",0.6
18,152,20,2022-10-28,8,94,42,"75cf40d7366c484aaeca66059c9d77ef",0.6
14,110,11,2022-10-27,8,59,29,"672654fbabb8489aabb1b36806de7af9",0.4
16,116,12,2022-10-26,8,64,36,"2217e59c557d4d4da2988144d61b251d",0.4
16,114,14,2022-10-25,8,62,42,"ae23f6afd2004eec9a47b8c852105725",0.4
18,140,24,2022-10-24,8,84,49,"3e932e963dfd43059eee28bdcac1a106",0.5
20,134,23,2022-10-23,8,79,40,"c4d9c359df834a0dbe26b89a8292acef",0.6
24,130,18,2022-10-22,8,75,32,"a47193c1c30f43e994c761e145d16a91",0.5
17,139,14,2022-10-21,8,83,36,"7a982f8d07f1473fb863a945d3e17872",0.5
18,110,14,2022-10-20,8,59,39,"77b4dfb8cc5c4bf9978f8ad3c309849d",0.4
16,121,16,2022-10-19,10,68,34,"7230a0c44d1b4a5ba87974d6d78373cb",0.6
10,121,29,2022-10-18,8,68,50,"694a7c95f394492fb0fec096eef7b98c",0.6
10,120,22,2022-10-17,10,67,50,"6809c43346fc4698a5a3d8bae066357a",0.6
