ID,Height,Weight,Lungcap,Run,Jump,Sitreach,Situp
1,167.9,51.2,2318,8.75,170,12.3,37
2,160.9,47.9,3183,8.25,190,21.2,45
3,157.3,57,2677,8.25,165,13.2,45
4,167,65,2579,9.81,190,19.8,46
5,162.5,64,3282,9.33,190,19.3,29
6,163,55,2443,9.33,180,11.5,44
7,161,65,3455,9.89,150,8.9,30
8,172.4,61,3347,8.88,200,15,42
9,163.7,79,3722,8.99,180,15.8,43
10,162.5,62.1,2960,9.16,170,21.9,39
11,174,62.3,3670,7.69,190,15.5,52
12,167.1,61.9,2470,8.88,160,14.1,41
13,165.9,55,2605,8.43,180,17.7,56
14,173.5,60,2176,8.19,190,14.3,30
15,162.5,53.1,1686,9.14,180,19.2,49
16,153.5,50.5,2491,9.16,170,26.5,50
17,169,64.2,3587,8.39,170,29.4,36
18,166.7,62,4562,9.23,170,16.7,45
19,164.8,46.9,2772,8.89,190,14.3,50
20,160.9,48.6,2839,8.75,195,17.8,37
21,165.2,58,2898,7.79,170,12.7,29
22,168.1,53.1,2917,8.76,175,18.3,35
23,162,62,3055,9.86,170,19.3,40
24,169.9,63.6,3442,9.41,170,9.8,40
25,167,60.7,3132,8.79,170,17.1,45
26,162,66,3685,9.38,170,19.8,35
27,153.4,57,2767,9.08,180,9.5,35
28,169.8,54.3,2494,8.66,180,24.1,50
29,175.2,60,2606,9.83,155,16,32
30,168,47.2,2671,8.26,170,23.2,50
31,160.4,51.9,2679,8.42,170,14.8,50
32,157.3,51.8,2678,9.17,170,18.8,50
33,155,50,3714,9.19,160,19.9,42
34,162.1,55.7,3241,7.94,210,15.5,50
35,165.5,69.2,3049,8.75,190,15.4,42
36,163.7,53.8,2048,9.12,160,14.4,35
37,165.1,59.4,2678,8.43,200,14.9,35
38,170.4,71.9,3724,9.12,170,8.7,40
39,161.9,53.8,2446,9.93,170,12.5,40
40,160.9,48.8,2397,9.93,160,21.1,30
41,162.7,56.4,2743,8.73,170,11.3,43
42,163.4,58.4,3012,9.93,170,21.2,29
43,161.7,61.2,2357,9.65,150,16.2,36
44,162.1,47,2729,9.31,190,20.9,48
45,161.3,51.8,2532,9.65,150,16.0,35
46,164.7,52.4,2963,9.21,170,19.3,33
47,169.1,60.1,2603,9.43,160,20.7,41
48,163,50.4,2505,8.56,180,20.2,52
49,167.9,56.8,2627,8.51,200,25.9,38
50,172.5,52.1,2510,8.92,180,8.9,30
